event_time,cumulative_possession_away,cumulative_possession_home,avg_pass_length_home,avg_pass_duration_home,cumulative_num_passes_home,avg_pass_length_away,avg_pass_duration_away,cumulative_num_passes_away,cumulative_shots_attempted_home,cumulative_shots_attempted_away,location_x_home,location_y_home,location_x_away,location_y_away,time_to_home_goal,time_to_away_goal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,60.6,60.0,40.0,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,60.6,60.0,40.0,,
2,0.828777,0.0,0.0,0.0,0.0,2.5019991,0.828777,1.0,0.0,0.0,32.9,60.6,61.0,40.1,,
3,3.372085,0.0,0.0,0.0,0.0,16.07538805,1.6860425,2.0,0.0,0.0,32.9,60.6,62.0,43.1,,
4,3.372085,0.0,0.0,0.0,0.0,16.07538805,1.6860425,2.0,0.0,0.0,32.9,60.6,62.0,43.1,,
5,3.372085,0.0,0.0,0.0,0.0,16.07538805,1.6860425,2.0,0.0,0.0,32.9,60.6,62.0,43.1,,
6,5.953399,0.0,0.0,0.0,0.0,19.00077836666667,1.7382016666666669,3.0,0.0,0.0,32.9,60.6,63.7,13.5,,
7,5.953399,0.0,0.0,0.0,0.0,19.00077836666667,1.7382016666666669,3.0,0.0,0.0,32.9,60.6,63.7,13.5,,
8,7.262287000000001,0.0,0.0,0.0,0.0,17.832221025000003,1.63087325,4.0,0.0,0.0,32.9,60.6,38.9,15.1,,
9,7.262287000000001,0.0,0.0,0.0,0.0,17.832221025000003,1.63087325,4.0,0.0,0.0,32.9,60.6,38.9,15.1,,
10,8.925755,0.0,0.0,0.0,0.0,17.832221025000003,1.63087325,4.0,0.0,0.0,32.9,60.6,25.8,20.9,,
11,11.042081,0.0,0.0,0.0,0.0,19.45777062,1.7279638,5.0,0.0,0.0,32.9,60.6,22.0,23.5,,
12,11.042081,0.0,0.0,0.0,0.0,19.45777062,1.7279638,5.0,0.0,0.0,32.9,60.6,22.0,23.5,,
13,12.411293,0.0,0.0,0.0,0.0,19.45777062,1.7279638,5.0,0.0,0.0,32.9,60.6,7.6,45.1,,
14,13.291490000000001,0.0,0.0,0.0,0.0,19.45777062,1.7279638,5.0,0.0,0.0,32.9,60.6,103.6,39.9,,
15,19.550720000000002,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,9.0,47.1,,
16,19.550720000000002,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,9.0,47.1,,
17,19.550720000000002,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,9.0,47.1,,
18,19.550720000000002,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,9.0,47.1,,
19,19.550720000000002,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,9.0,47.1,,
20,19.550720000000002,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,9.0,47.1,,
21,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.4,77.0,,
22,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
23,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
24,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
25,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
26,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
27,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
28,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
29,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
30,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
31,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
32,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
33,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
34,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
35,21.401185,0.0,0.0,0.0,0.0,30.04389551666667,2.483174833333333,6.0,0.0,0.0,32.9,60.6,86.9,77.7,,
