minute,second,player,team,team_id,possession,start_x,start_y,end_x,end_y,next_shot_xg,leads_to_shot,dx,dy,length,progressive,final_third,box_entry,cross,through,cutback,pass_type,structural_score,xg_norm,importance_raw,importance_norm,time
0,2,Romelu Lukaku Menama,Everton,29,2,61.0,40.1,61.1,42.6,0.0,0,0.10000000000000142,2.5,2.5019992006393608,0,0,0,0,0,0,Lateral,0.6525000000000001,0.0,0.14076776646173406,0.16560913686100326,2
0,3,Ross Barkley,Everton,29,2,62.0,43.1,63.7,13.5,0.0,0,1.7000000000000028,-29.6,29.648777377827912,0,0,0,0,0,0,Lateral,0.4125000000000001,0.0,0.08899111672868247,0.10469543134891014,3
0,6,Kevin Mirallas,Everton,29,2,63.7,13.5,38.9,15.1,0.0,0,-24.800000000000004,1.5999999999999996,24.85155930721451,0,0,0,0,0,0,Backward,0.0,0.0,0.0,0.0,6
0,8,Leighton Baines,Everton,29,2,38.9,15.1,25.8,20.9,0.0,0,-13.099999999999998,5.799999999999999,14.3265487818944,0,0,0,0,0,0,Backward,0.1716666666666667,0.0,0.03703468696183553,0.043570219914899976,8
0,11,José Ramiro Funes Mori,Everton,29,2,22.0,23.5,7.6,45.1,0.0,0,-14.4,21.6,25.959969183340725,0,0,0,0,0,0,Backward,0.31,0.0,0.06687817257185832,0.07868020295312032,11
0,15,Tim Howard,Everton,29,2,9.0,47.1,86.4,77.0,0.0,0,77.4,29.9,82.97451415946948,1,1,0,0,0,0,Progressive,2.64,0.0,0.5695431470635677,0.6700507606330247,15
1,4,Kevin Mirallas,Everton,29,3,99.7,23.5,106.2,13.5,0.0,0,6.5,-10.0,11.926860441876563,1,1,0,0,0,0,Progressive,1.4825,0.0,0.3198286801218708,0.3762690350903254,64
1,21,Leighton Baines,Everton,29,4,110.1,0.1,107.9,9.0,0.0,0,-2.1999999999999886,8.9,9.167878707749136,0,1,0,1,0,0,Cross,1.5033333333333334,0.0,0.32432318096675383,0.3815566831382502,81
2,45,Daryl Janmaat,Newcastle United,37,7,60.9,80.0,75.9,73.0,0.0,0,15.000000000000007,-7.0,16.552945357246855,1,0,0,0,0,0,Progressive,1.2650000000000001,0.0,0.27290609130129284,0.321065989469991,165
2,48,Tom Cleverley,Everton,29,8,47.0,10.9,42.8,17.0,0.0,0,-4.200000000000003,6.1,7.406078584514211,0,0,0,0,0,0,Lateral,0.14999999999999994,0.0,0.03236040608315724,0.038071065945058206,168
2,48,Gareth Barry,Everton,29,8,44.0,17.1,63.3,16.2,0.0,0,19.299999999999997,-0.9000000000000021,19.320973060381817,1,0,0,0,0,0,Progressive,1.4524999999999997,0.0,0.31335659890523937,0.3686548219013137,168
2,51,Daryl Janmaat,Newcastle United,37,8,51.5,70.2,38.2,46.1,0.0,0,-13.299999999999997,-24.1,27.526351011349107,0,0,0,0,0,0,Backward,0.07833333333333337,0.0,0.016899323176759906,0.01988155666019708,171
3,3,Leighton Baines,Everton,29,8,27.0,14.9,34.5,24.0,0.0,0,7.5,9.1,11.792370414806346,0,0,0,0,0,0,Forward,1.1775,0.0,0.25402918775278444,0.29885786766870703,183
3,6,Tom Cleverley,Everton,29,8,46.2,29.8,80.9,58.1,0.0,0,34.7,28.3,44.77700302610705,1,1,0,0,0,0,Progressive,2.54,0.0,0.5479695430081294,0.6446700500029857,186
3,9,Romelu Lukaku Menama,Everton,29,8,80.8,57.9,81.2,76.3,0.0,0,0.4000000000000057,18.4,18.404347312523743,0,1,0,0,0,0,Lateral,0.6500000000000001,0.0,0.14022842636034813,0.16497461909525232,189
3,15,Aaron Lennon,Everton,29,8,87.5,73.8,100.9,59.6,0.0,0,13.400000000000006,-14.199999999999996,19.52434377898525,1,1,0,0,0,0,Progressive,2.475,0.0,0.5339467003720947,0.6281725880934607,195
3,16,Romelu Lukaku Menama,Everton,29,8,101.1,59.6,97.5,62.6,0.0,0,-3.5999999999999943,3.0,4.686149805543988,0,1,0,0,0,0,Lateral,0.66,0.0,0.14238578676589192,0.16751269015825618,196
3,36,Séamus Coleman,Everton,29,9,95.0,80.0,98.9,73.7,0.0,0,3.9000000000000057,-6.299999999999997,7.409453421137082,0,1,0,0,0,0,Lateral,0.7375000000000002,0.0,0.15910532990885654,0.1871827408965363,216
3,44,John Stones,Everton,29,9,76.1,65.9,65.6,40.4,0.0,0,-10.5,-25.500000000000007,27.57716446627536,0,0,0,0,0,0,Backward,0.37500000000000006,0.0,0.08090101520789314,0.09517766486264556,224
3,47,Gareth Barry,Everton,29,9,65.3,40.6,51.2,32.0,0.0,0,-14.099999999999994,-8.600000000000001,16.515750058656128,0,0,0,0,0,0,Backward,0.3150000000000001,0.0,0.06795685277463025,0.07994923848462228,227
3,51,José Ramiro Funes Mori,Everton,29,9,57.9,25.2,80.9,23.4,0.0,0,23.000000000000007,-1.8000000000000007,23.070327262524916,1,1,0,0,0,0,Progressive,2.5149999999999997,0.0,0.5425761419942698,0.6383248723454761,231
3,53,Kevin Mirallas,Everton,29,9,82.9,13.8,82.5,2.6,0.0,0,-0.4000000000000057,-11.200000000000001,11.207140580897521,0,1,0,0,0,0,Lateral,0.6333333333333333,0.0,0.13663282568444174,0.16074450065691248,233
3,55,Leighton Baines,Everton,29,9,82.5,2.6,75.8,30.2,0.0,0,-6.700000000000003,27.599999999999998,28.401584462842912,0,0,0,0,0,0,Backward,0.1883333333333333,0.0,0.040630287637741874,0.047800338353239755,235
3,57,Tom Cleverley,Everton,29,9,73.7,33.2,76.1,41.2,0.0,0,2.3999999999999915,8.0,8.352245207128439,0,0,0,0,0,0,Lateral,0.7099999999999997,0.0,0.15317258879361095,0.18020304547327554,237
3,59,Ross Barkley,Everton,29,9,75.0,42.4,87.3,75.9,0.0,0,12.299999999999997,33.50000000000001,35.686692197512514,1,1,0,0,0,0,Switch of Play,2.3474999999999997,0.0,0.506440355201411,0.5958121820401611,239
4,1,Aaron Lennon,Everton,29,9,87.3,75.9,75.4,71.0,0.0,0,-11.899999999999991,-4.900000000000006,12.869343417595159,0,0,0,0,0,0,Backward,0.0,0.0,0.0,0.0,241
4,4,Séamus Coleman,Everton,29,9,81.2,72.4,88.1,77.3,0.0,0,6.8999999999999915,4.8999999999999915,8.462860036654265,0,1,0,0,0,0,Forward,1.3125,0.0,0.2831535532276259,0.3331218270192594,244
4,8,Aaron Lennon,Everton,29,9,93.7,65.2,94.4,54.8,0.0,0,0.7000000000000028,-10.400000000000006,10.423531071570714,0,1,0,0,0,0,Lateral,1.3575,0.0,0.2928616750525731,0.34454314680277687,248
4,9,Romelu Lukaku Menama,Everton,29,9,94.4,54.8,87.9,58.5,0.0,0,-6.5,3.700000000000003,7.479304780526063,0,1,0,0,0,0,Backward,0.6316666666666666,0.0,0.1362732656168511,0.1603214888130785,249
4,12,Ross Barkley,Everton,29,9,88.6,52.4,88.4,29.5,0.0,0,-0.19999999999998863,-22.9,22.900873345791858,0,1,0,0,0,0,Lateral,1.336666666666667,0.0,0.28836717420769026,0.3392554987548522,252
4,14,Kevin Mirallas,Everton,29,9,90.4,34.0,93.3,44.6,0.0,0,2.8999999999999915,10.600000000000001,10.989540481748998,0,1,0,0,0,0,Lateral,1.5724999999999998,0.0,0.33924492377176513,0.39911167465736025,254
4,27,Gareth Barry,Everton,29,9,82.0,64.5,95.9,58.8,0.0,0,13.900000000000006,-5.700000000000003,15.02331521336087,1,1,0,0,0,0,Progressive,2.4875000000000003,0.0,0.5366434008790245,0.6313451769222156,267
